episode,total_steps,average_reward,average_length
25,2366,-288.609643181313,261.0
50,4799,-315.78247098203667,255.9
75,7280,-278.57152942282937,659.5
100,9894,-220.96623177577993,732.9
125,12772,-179.58849851337033,819.9
150,15714,-226.05171160705373,659.3
175,19157,-137.2298150380192,1000.0
200,23971,-119.07071704385407,1000.0
225,29038,-118.42664461862758,1000.0
250,48751,-103.76051458207579,914.0
275,70352,-33.77992086293708,1000.0
300,93559,-0.8721907089396261,870.3
325,106312,-37.43265493164374,353.1
350,114811,-31.770369986420555,325.1
375,127778,-58.63188135548112,896.7
400,149879,70.15902345431628,804.5
425,169585,57.92710236716871,830.7
450,187347,3.5852308551457823,835.2
475,207871,76.91317949373357,894.1
500,225981,157.62686644944907,733.2
525,241639,81.79560817259343,477.1
550,255310,160.5125872166149,502.5
575,264953,198.32899734433158,555.3
600,271710,8.527846155869321,349.0
625,280117,-86.30804833793897,229.9
650,288495,165.9745515757117,364.1
675,297922,59.61831005845579,359.3
700,306203,-11.263275399006972,355.0
725,316915,165.2930793647933,553.6
750,332621,154.53650408695415,776.4
775,351788,-18.160203565873825,981.6
800,367175,-40.19807622646875,899.8
825,386335,34.86438151296312,775.5
850,402388,130.76878143968761,464.3
875,413490,109.58678596896303,346.9
900,419543,71.58645303277513,383.7
925,426348,67.91295276606766,365.3
950,437067,145.8183396178704,440.0
975,449094,165.22779216144824,570.8
1000,461470,135.834101663117,667.6
